map_id,map,source_url_primary,source_url_secondary,source_notes,confidence_rationale,last_reviewed,needs_manual_review,reviewer
163361,Dry Arabia,https://aoe4world.com/stats/rm_solo/maps,,Classic open flat desert land map. Widely documented as the most open competitive map. No water interaction. Trade post routes present but exposed. AoE4World lists as Land.,Extremely well-documented map; labels consistent across all competitive sources.,2026-05-29,0,AI+community
2135363,Gorge,https://aoe4world.com/stats/rm_solo/maps,,Mountain gorge terrain. Central gorge creates some terrain choking. Highland classification. AoE4World: Land. Semi-open with moderate terrain constraints.,AoE4World type confirmed Land. Highland/gorge chokepoints visible from map layout knowledge.,2026-05-29,0,AI+community
9001488,Carmel,https://aoe4world.com/stats/rm_solo/maps,,Flatter mixed terrain. Semi-open. AoE4World likely Land. Less information available than core maps.,Limited community documentation. Medium confidence on openness and chokepoint assignments.,2026-05-29,1,AI
2145747,Sunkenlands,https://aoe4world.com/stats/rm_solo/maps,,Wetland/pond terrain scattered across map. AoE4World: Hybrid. Water ponds affect positioning and pathing but naval play is not dominant. Semi-open approach paths.,AoE4World lists as Hybrid. Water importance medium because ponds matter for positioning but are not required for naval domination.,2026-05-29,0,AI+community
9002425,Enlightened Horizon,https://aoe4world.com/stats/rm_solo/maps,,Highland open terrain. AoE4World likely Land. Open sightlines and approaches.,Newer map; moderate community coverage. Openness assigned open based on map layout descriptions.,2026-05-29,1,AI
130029,Hill and Dale,https://aoe4world.com/stats/rm_solo/maps,,Rolling hills terrain. No water interaction. Semi-open with varied elevation providing moderate terrain cover. AoE4World: Land.,Well-known map across multiple seasons. Highland classification clearly appropriate.,2026-05-29,0,AI+community
2141179,Rocky River,https://aoe4world.com/stats/rm_solo/maps,,River running through center of map. Crossable but river control matters. AoE4World: Hybrid. Semi-open with river as a natural boundary.,AoE4World Hybrid confirmed. River divides map and creates crossing chokepoints.,2026-05-29,0,AI+community
173365,Altai,https://aoe4world.com/stats/rm_solo/maps,,Mountain/highland terrain with passes. AoE4World: Land. Narrow mountain passes create high chokepoint level. Defensive map favoring closed play.,Well-documented competitive map. Altai mountains theme provides clear geographic basis for closed/chokepoint labels.,2026-05-29,0,AI+community
127490,High View,https://aoe4world.com/stats/rm_solo/maps,,Elevated terrain with high-ground positions. AoE4World likely Land. Semi-open with elevation advantages creating moderate chokepoints.,Moderate documentation. Elevation-based chokepoints assigned medium confidence.,2026-05-29,1,AI
5015032,Relic River,https://aoe4world.com/stats/rm_solo/maps,,River with relic placements near water. AoE4World: Hybrid. River creates low-to-medium water interaction but land play dominates. Relics create contest zones.,River confirmed from map name and community sources. Water importance low because river is primarily a boundary not a naval theater.,2026-05-29,0,AI+community
187793,Lipany,https://aoe4world.com/stats/rm_solo/maps,,Historical open field map (Battle of Lipany 1434). AoE4World: Land. Very open flat terrain. Historically documented as open map in competitive scene.,Well-known competitive map for many seasons. Open classification consistently noted.,2026-05-29,0,AI+community
2129132,Cliffside,https://aoe4world.com/stats/rm_solo/maps,,Cliff terrain creates elevated positions and chokepoints. AoE4World: Land. Semi-open with high terrain chokepoints from cliff edges.,Cliffs are the defining feature; chokepoint_level high is well-supported by map layout and community guides.,2026-05-29,0,AI+community
2135364,Canal,https://aoe4world.com/stats/rm_solo/maps,,Canal divides the map. AoE4World: Hybrid. High water importance because the canal is a central feature requiring boats for crossing and control. Narrow crossing points create chokepoints.,Canal as central dividing feature makes this clearly Hybrid with high water importance. Closed/chokepoint due to limited crossing options.,2026-05-29,0,AI+community
2143821,Himeyama,https://aoe4world.com/stats/rm_solo/maps,,Japanese-themed highland map. AoE4World likely Land. Semi-open with elevation features.,Limited external documentation. Medium confidence on all labels.,2026-05-29,1,AI
192989,Archipelago,https://aoe4world.com/stats/rm_solo/maps,,Island map. AoE4World: Water. Players start on separate islands. Naval play is required for resource access and expansion. High water importance.,Classic AOE4 water map. Water-required status and island classification are unambiguous.,2026-05-29,0,AI+community
2122003,Four Lakes,https://aoe4world.com/stats/rm_solo/maps,,Four large central lakes. AoE4World: Hybrid. Lakes are central features requiring boat control for relic/resource access. Semi-open land approaches with major water elements.,AoE4World Hybrid confirmed. Four lakes are the dominant map feature; water importance high.,2026-05-29,0,AI+community
201804,Boulder Bay,https://aoe4world.com/stats/rm_solo/maps,,Coastal bay terrain. AoE4World likely Hybrid. Water present and relevant but not fully naval-dominant like island maps.,Moderate documentation. Hybrid classification based on coastal bay feature. Medium confidence.,2026-05-29,1,AI
9000266,Lakeside,https://aoe4world.com/stats/rm_solo/maps,,Large central lake. AoE4World: Hybrid. Lake creates central water feature affecting trade and positioning.,AoE4World Hybrid confirmed from stat pages. Central lake makes this clearly hybrid.,2026-05-29,0,AI+community
2059808,Migration,https://aoe4world.com/stats/rm_solo/maps,,Classic island migration map. Players start on small islands and migrate. AoE4World: Water. Naval play is required for migration and resource gathering.,Extremely well-known map type. Water-required is unambiguous. High confidence.,2026-05-29,0,AI+community
177556,King of the Hill,https://aoe4world.com/stats/rm_solo/maps,,Central hill/monument land map. Only 1 game in dataset — likely a test entry or special event. AoE4World: Land.,Only 1 game; labels assigned by map type knowledge but reliability is uncertain due to near-zero play data.,2026-05-29,1,AI
2144958,Golden Heights,https://aoe4world.com/stats/rm_solo/maps,,Elevated highland terrain. Only 1 game in dataset — likely a test entry or special event.,Only 1 game; very low confidence on all labels.,2026-05-29,1,AI
